date,index_usd,index_bs,weekly_change_pct,basket_cost_usd,products_priced,products_total,base_date,notes
2026-06-12,100.0,100.0,0.0,448.68,22,22,2026-06-12,
2026-06-14,95.25,95.25,-4.75,429.84,22,22,2026-06-12,
2026-06-21,93.91,97.89,-1.41,401.53,22,22,2026-06-12,
2026-06-28,92.54,98.82,-1.46,422.47,22,22,2026-06-12,
2026-07-05,93.86,105.18,1.43,415.38,21,22,2026-06-12,21/22 productos con variación
2026-07-12,93.96,114.44,0.11,410.52,22,22,2026-06-12,
2026-07-19,93.05,116.97,-0.97,413.26,21,22,2026-06-12,21/22 productos con variación
2026-07-26,91.85,116.31,-1.29,400.16,20,22,2026-06-12,20/22 productos con variación
2026-08-02,89.77,115.03,-2.26,383.94,22,22,2026-06-12,
2026-08-09,88.09,114.4,-1.87,381.73,21,22,2026-06-12,21/22 productos con variación
2026-08-16,86.35,114.27,-1.98,371.17,22,22,2026-06-12,
2026-08-23,88.76,118.81,2.79,393.26,22,22,2026-06-12,
2026-08-30,88.31,119.98,-0.51,390.25,22,22,2026-06-12,
2026-09-06,86.98,120.52,-1.51,366.08,22,22,2026-06-12,
